xml-file	xml-ID	Settore	Lettera	N. articolo per app.	titolo art. integrale	Etimo/etimi	m.morf.	Significato	Volume	Fascicolo	Data pubbl.	Nr. col. inizio	Nr. col. fine	Autore1	Autore2	Autore3	Autore4	Nome rimando 	Coord. rimando 	Titolo articolo	Note
lei01	ya00001	Latinismi	A		ab 'da'	ab		da	I	1	1979	1	6	Pfister, Max							
lei01	ya00002	Latinismi	A		abacus 'tavola; tavola geometrica; parte del capitello'	abacus		tavola; tavola geometrica; parte del capitello	I	1	1979	6	10	Pfister, Max							
lei01	ya00003	Latinismi	A		abante 'innanzi; prima'	abante		innanzi; prima	I	1	1979	10	33	Pfister, Max							
lei01	ya00004	Latinismi	A		*abantiare 'portare avanti'	*abantiare		portare avanti	I	1	1979	33	48	Pfister, Max							
lei01	ya00005	Latinismi	A		abavus 'trisavolo'	abavus		trisavolo	I	1	1979	48	48	Pfister, Max							
lei01	ya00006	Latinismi	A		abbas, abbatis 'padre; abate'	abbas, abbatis		padre; abate	I	1	1979	48	54	Pfister, Max							
lei01	ya00007	Latinismi	A		abbatia 'ufficio di un abate, di una badessa'	abbatia		ufficio di un abate, di una badessa	I	1	1979	54	60	Pfister, Max							
lei01	ya00008	Latinismi	A		abbatissa 'badessa'	abbatissa		badessa	I	1	1979	60	62	Pfister, Max							
lei01	ya00009	Latinismi	A		abbattere 'abbattere, bacchiare; buttare giù'	abbattere		abbattere, bacchiare; buttare giù	I	1	1979	62	68	Pfister, Max							
lei01	ya00010	Latinismi	A		*abbiberare 'abbeverare'	*abbiberare		abbeverare	I	1	1979	68	80	Pfister, Max							
lei01	ya00011	Latinismi	A		abbreviare 'rendere più breve'	abbreviare		rendere più breve	I	1	1979	80	83	Pfister, Max							
lei01	ya00012	Latinismi	A		abbreviatio 'compendio'	abbreviatio		compendio	I	1	1979	83	83	Pfister, Max							
lei01	ya00013	Latinismi	A		abbreviator 'chi abbrevia; compendiatore'	abbreviator		chi abbrevia; compendiatore	I	1	1979	83	83	Pfister, Max							
lei01	ya00014	Latinismi	A		*abburare 'bruciare'	*abburare		bruciare	I	1	1979	84	85	Pfister, Max							
lei01	ya00015	Latinismi	A		abc 'alfabeto'	abc		alfabeto	I	1	1979	85	87	Pfister, Max							
lei01	ya00016	Latinismi	A		gr. abdélla 'sanguisuga'	abdélla		sanguisuga	I	1	1979	87	87	Pfister, Max							
lei01	ya00017	Latinismi	A		abdicare 'scacciare, respingere'	abdicare		scacciare, respingere	I	1	1979	87	88	Pfister, Max							
lei01	ya00018	Latinismi	A		abdomen 'basso ventre'	abdomen		basso ventre	I	1	1979	88	89	Pfister, Max							
